지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
108,2023-01-17,-3.7,-7,311,-.4,1402,2.92,,,,,0,4.9,270,1404,3,50,754,1.8,1553,-9.4,46,1339,65.1,3.1,1015.7,1028.6,339,1025,1624,1026.8,9.9,.2,1300,1.26,5.27,,,,,,8.8,4.9,-1.2,-11.2,.2,-.2,-.1,.7,2.2,4.6,7.9,14.3,17.3,.6,.9,0,
108,2023-01-18,-1.9,-4.6,815,2.2,1452,1.5,,,,,0,7.6,290,1531,4.4,320,1338,2,1754,-9.3,27,1702,60.5,3.1,1015.3,1027.9,902,1024.8,1446,1026.3,9.9,8.9,1200,2.12,12.71,,,,,,1.1,.8,-.4,-11.8,.2,-.2,-.1,.8,2.3,4.6,7.9,14.2,17.3,1.5,2.1,,
108,2023-01-19,-.4,-6,601,4.3,1419,4,,,,,1,9.8,180,2152,5.2,180,2155,2.5,2154,-5.5,47,1623,69.3,4.2,1012.1,1027.3,214,1019.2,2248,1023,9.9,3.1,1300,1.64,7.63,,,,,,6.3,3.8,-.9,-12.2,.1,-.2,0,.8,2.3,4.7,7.8,14.1,17.2,1.1,1.6,1,
108,2023-01-20,-3.3,-7.7,2353,2,222,,,,,,,13,340,915,6.9,290,936,3.7,3233,-12,30,1505,52.4,2.7,1016.5,1031.7,2355,1019.8,41,1027.6,10,8.7,1200,2.24,13.49,,,,,,.3,.3,-.5,-11.3,.1,-.2,0,.8,2.3,4.7,7.8,14,17.2,1.5,2.1,,
108,2023-01-21,-4.5,-10.5,713,1.5,1522,,,,,,,5.2,70,2400,3.5,50,2357,1.8,1580,-12.3,36,1222,55.4,2.4,1019.4,1032.6,238,1028.7,2400,1030.6,10,8.5,1200,2.14,12.37,,,,,,2,0,-1.8,-14.9,-.3,-.3,0,.8,2.3,4.7,7.8,13.9,17.1,1.4,2,,
108,2023-01-22,-.6,-2.8,117,2.6,1533,2,,,,,0,7.4,50,742,4.8,50,747,2.6,2212,-6.9,53,154,62.8,3.7,1015.4,1029.9,259,1023.9,1730,1026.3,10,.3,1400,.77,4.41,,,,,,7.5,5.5,-.8,-5.7,-.1,-.3,-.1,.8,2.3,4.7,7.8,13.8,17.1,.7,1,0,
108,2023-01-23,-.8,-6.9,2354,4.6,1345,,,,,,,9.6,290,2128,6,290,2128,2.7,2325,-6.3,46,2355,66.6,4,1012.7,1026.2,2400,1020.8,1432,1023.6,10,7.3,1200,1.84,10.15,,,,,,5.3,3.6,-.2,-7.9,.1,-.2,-.1,.8,2.3,4.7,7.7,13.7,17,1.3,1.9,0,
108,2023-01-24,-14.7,-17,2354,-6.9,1,.92,,,,,0,12.3,290,953,7,290,805,4.6,3950,-22.5,39,1011,51.9,1,1018.4,1034,2348,1026.1,5,1029.9,10.1,9.4,1200,2.3,14.08,,,,,,1,1,-6.6,-18.3,-1.1,-.9,-.2,.7,2.2,4.6,7.7,13.6,17,.8,1.1,,
108,2023-01-25,-11.3,-17.3,144,-5.4,1620,.17,,,,,0,5.9,20,513,3.8,320,558,2.1,1805,-21.2,27,1428,45.1,1.1,1019.1,1034.4,217,1026.1,2210,1030.5,10.1,9.4,1200,2.3,14.08,,,,,,1.6,.9,-6,-19.4,-2.2,-2.3,-.9,.4,2,4.6,7.7,13.5,17,1.1,1.6,.8,
108,2023-01-26,-6,-9,502,-3.5,1559,14.92,,,,,.8,5.9,50,516,4.1,50,519,2.5,2161,-8.9,52,1,80.1,3.2,1013,1026.4,1,1022.6,1625,1024.1,10.1,0,1100,.84,4.51,4.5,1055,4.5,1055,4.5,8.5,7,-2.6,-10.6,-1.3,-1.6,-1.1,.1,1.9,4.5,7.6,13.5,16.9,.5,.7,0,
108,2023-01-27,-7.3,-9.6,2333,-3.8,1548,,,,,,,13.9,270,1255,7.5,290,1414,3.5,3010,-14.8,35,1408,56.5,2,1012,1024.9,2212,1021.1,1441,1023.2,10.2,9.4,1200,2.3,14.1,,,1.7,1,,0,0,-3.1,-16.1,-1.5,-1.6,-1,0,1.8,4.5,7.6,13.4,16.9,1.3,1.9,,
108,2023-01-28,-6,-11.2,813,-.6,1554,.17,,,,,0,9.4,290,1450,5.1,250,1732,2.4,2102,-13.7,39,1438,54.9,2.2,1011.3,1024.4,5,1019.7,1428,1022.4,10.2,9,1200,2.11,12.58,,,,,,1,1,-3.5,-17.3,-2.1,-2.2,-1.5,-.2,1.6,4.4,7.5,13.3,16.8,1.3,1.8,0,
108,2023-01-29,-1.8,-8,607,4.9,1426,,,,,,,11,250,2128,5.9,200,1606,2.6,2281,-9,49,1210,58.3,3.2,1008.2,1022.3,1,1014.5,1608,1019.1,10.2,5.2,1300,2.01,9.79,,,,,,2.5,1.9,-2.3,-15.3,-1.5,-1.8,-1.4,-.3,1.5,4.3,7.5,13.2,16.8,1.3,1.8,,
108,2023-01-30,-.9,-4.4,449,4.2,1515,,,,,,,8.7,290,1314,4.3,270,1600,2.1,1852,-9.1,31,1331,55.9,3.1,1012.2,1025.4,1020,1020.6,1,1023.1,10.3,9.5,1200,2.28,14.17,,,,,,0,0,-.5,-12.1,-.8,-1.1,-1,-.3,1.5,4.2,7.4,13.1,16.7,1.8,2.5,,
108,2023-01-31,2.4,-3.5,402,7.8,1530,,,,,,,10.8,230,1623,5.3,230,1641,2.7,2343,-2.8,48,1416,69.1,5.2,1006.8,1022.6,6,1014.3,2050,1017.5,10.3,3,1000,1.17,6.5,,,,,,5.4,5.4,-.4,-8.8,-.6,-1,-.9,-.2,1.5,4.2,7.3,13.1,16.7,1,1.4,,
108,2023-02-01,.9,-3,2400,6,1,,,,,,,10.8,320,1355,6.2,270,1312,3.2,2774,-4.9,37,1357,68.4,4.5,1009,1026.1,2356,1014.4,1,1019.7,10.3,8.9,1300,2.22,13.24,,,,,,2.5,1.3,1.5,-7.8,.1,-.3,-.6,-.2,1.5,4.1,7.3,13,16.6,1.7,2.5,,1.25
108,2023-02-02,-2.4,-5.1,719,1.4,1606,,,,,,,7.3,340,158,4.3,290,1224,2.5,2138,-11.5,36,1524,50.3,2.6,1015.9,1029.6,951,1025.2,1556,1026.8,10.3,7.6,1300,1.74,10.94,,,,,,5.5,0,-1.1,-11.3,-.2,-.5,-.6,-.2,1.5,4.1,7.2,12.9,16.6,1.4,2,,
108,2023-02-03,-1.6,-3.9,118,3.4,1540,,,,,,,6.2,320,1307,3.8,320,1315,2.2,1860,-11.8,22,1457,47.4,2.5,1012.5,1025.4,13,1021.6,1504,1023.4,10.4,8.6,1200,2.28,13.54,,,,,,3,1.5,.4,-11.1,-.4,-.8,-.7,-.1,1.5,4,7.1,12.8,16.5,1.8,2.6,,
108,2023-02-04,-.2,-5.2,535,6,1528,,,,,,,8,250,1401,4.6,270,1702,2,1742,-9.5,33,1657,49.8,3.1,1013.9,1026.3,2236,1023.3,1442,1024.8,10.4,8.2,1200,2.21,13.23,,,,,,.9,.9,.4,-12.2,-.5,-.9,-.7,-.1,1.5,4,7.1,12.8,16.5,1.7,2.5,,
108,2023-02-05,1.7,-3.3,726,7.1,1338,,,,,,,6.3,200,1618,4,250,1608,1.8,1557,-3.2,49,1522,71,4.9,1014,1026.5,931,1022.9,1656,1024.8,10.5,7,1200,2.1,11.35,,,,,,2.3,2.3,.4,-11.2,-.3,-.7,-.6,-.1,1.5,3.9,7,12.7,16.4,1.3,1.9,,
108,2023-02-06,3,-1.7,716,8.8,1458,,,,,,,5.1,320,1754,3.4,340,1811,1.6,1419,-1.9,50,1506,72.3,5.3,1011.6,1024.8,818,1020.2,1549,1022.4,10.5,7.1,1200,1.92,10.69,,,,,,3.6,0,1.2,-9.6,0,-.4,-.6,-.1,1.5,3.9,6.9,12.6,16.4,1.3,1.8,,
108,2023-02-07,3.5,-.6,727,9.5,1546,,,,,,,5,230,1754,3.2,290,2019,1.5,1279,-1.1,50,1557,72.9,5.6,1010.7,1022.7,2326,1019.4,1541,1021.4,10.5,6.4,1200,1.6,10.12,,,,,,3.4,.3,1.7,-9.7,.1,-.3,-.5,-.1,1.5,3.9,6.9,12.5,16.3,1.3,1.8,,
108,2023-02-08,2.1,-1.3,645,7.8,1505,,,,,,,7.7,250,1532,4.3,250,1540,2.5,2164,-5,31,1642,62.1,4.3,1015.7,1028.9,2357,1022.7,1,1026.5,10.6,9.5,1200,2.38,14.82,,,,,,.3,0,2.2,-9.6,.1,-.3,-.5,0,1.5,3.8,6.8,12.5,16.3,2.1,3,,
108,2023-02-09,4,-2.8,509,9.9,1537,.67,,,,,0,9.5,110,2324,4.4,50,2231,2.5,2145,-5.9,32,1355,49.9,4,1015.9,1030.4,906,1022.9,2303,1026.6,10.6,6.7,1200,2.32,12.36,,,,,,6.5,2.8,1,-11.3,.1,-.3,-.5,0,1.5,3.8,6.8,12.4,16.2,,,.6,
108,2023-02-10,3.8,1.1,2356,6.2,1610,9.92,,,,,.6,7.2,180,3,4.3,290,1224,2.2,1905,.5,69,5,79.6,6.4,1010.1,1023.4,2354,1019.4,1438,1020.8,10.6,2,1100,1.34,7.07,,,,,,6.1,5.3,2,-6.2,.2,-.2,-.4,0,1.5,3.8,6.7,12.3,16.2,.9,1.3,0,
108,2023-02-11,2.8,-1.2,703,8.5,1417,,,,,,,4.7,160,1337,2.9,20,157,1.8,1531,-1.8,50,1414,73,5.4,1012.7,1025.1,2356,1021.6,121,1023.5,10.7,5.5,1300,1.96,10.9,,,,,,3.4,0,1.8,-8,.2,-.2,-.4,.1,1.5,3.7,6.7,12.3,16.1,1.3,1.8,,
108,2023-02-12,3.7,-.9,624,7.6,1351,,,,,,,5.9,320,1417,4.1,50,1011,1.8,1577,-1.4,54,1347,70,5.5,1010.8,1025.7,906,1017.4,2356,1021.6,10.7,2,1300,1.7,8.48,,,,,,6.9,3.5,1.5,-9,.2,-.2,-.4,.1,1.5,3.7,6.7,12.2,16.1,1.3,1.8,,
108,2023-02-13,5.9,2.7,2351,8.4,1219,,,,,,,7.4,50,124,4.2,50,124,2.3,2015,0,56,1219,66.5,6.1,1007.8,1019.9,2252,1016.3,1525,1018.4,10.7,.8,1100,1.05,5.44,,,,,,7.3,5.5,1.8,-3.1,.3,-.2,-.4,.2,1.5,3.7,6.6,12.1,16,1.2,1.7,,
108,2023-02-14,1.7,-2.5,730,6.6,1521,,,,,,,8.2,250,1605,4.8,250,1613,2.7,2361,-6.7,38,1710,54.9,3.7,1012.1,1026.1,2353,1019.9,1,1022.9,10.8,9.5,1200,2.47,15.95,,,,,,1.6,.8,2.6,-5.9,.2,-.2,-.4,.2,1.5,3.7,6.6,12.1,16,2.3,3.2,,
108,2023-02-15,3.2,-1.2,706,8.9,1558,,,,,,,7.6,70,258,4.5,50,302,2.5,2182,-7.3,33,1551,46.4,3.6,1017.9,1030.6,2254,1026,132,1028.7,10.8,9.4,1100,2.25,15.24,,,,,,3.9,1.3,2.5,-6.8,.2,-.2,-.4,.3,1.6,3.7,6.6,12,15.9,2.2,3.1,,
108,2023-02-16,2.3,-.7,2353,4.5,1459,,,,,,0,8.7,200,1452,5,230,1334,2.7,2306,-3,51,1704,68.3,4.9,1019.3,1031.4,1026,1029.2,1718,1030.1,10.9,1.9,1200,.94,6.45,,,,,,5.4,5.4,1.8,-8.6,.3,-.2,-.3,.3,1.7,3.7,6.5,12,15.9,1,1.4,0,
108,2023-02-17,3.4,-1.5,543,9.8,1542,,,,,,,5.1,250,1437,3,20,844,1.8,1550,-2.4,40,1602,67.8,5.1,1016.5,1029.8,214,1024.7,1707,1027.2,10.9,7.5,1200,2.32,13.67,,,,,,5,1.6,2.3,-8.4,.3,-.2,-.3,.4,1.9,3.7,6.5,11.9,15.8,1.8,2.6,,
108,2023-02-18,5.7,3,6,8.1,1529,,,,,,,3.9,70,300,2.6,20,49,1.5,1253,-1.9,45,1558,58.3,5.3,1009,1025.2,1,1016.2,2358,1019.6,10.9,0,1200,.59,2.91,,,,,,9.9,9.1,2.3,-.5,.5,-.1,-.1,.7,2.3,3.8,6.5,11.8,15.8,1,1.4,.4,
108,2023-02-19,3.5,.2,2341,6.1,1457,2.92,,,,,.4,11.6,290,1342,6.8,290,1130,3.3,2884,-5,29,1717,56.1,4.4,1008.5,1023.5,2253,1015.4,442,1019.1,11,7,1200,2.67,14.47,,,,,,3.9,3.1,4.3,-4.4,1.1,.2,.5,1.3,2.8,3.9,6.5,11.8,15.8,2.3,3.2,,
108,2023-02-20,-.5,-3.5,2357,2.4,1419,,,,,,,11,290,1245,6.4,320,1038,3.3,2888,-11.1,27,1456,46.4,2.7,1015.7,1031.8,2349,1023.3,352,1026.7,11,9.5,1200,2.73,18.16,,,,,,0,0,1.9,-8.5,1,.8,1.1,1.7,3.2,4,6.5,11.7,15.7,2.4,3.4,,
108,2023-02-21,-1.3,-5.3,759,4.8,1618,,,,,,,6.8,340,452,4.7,340,501,2.1,1803,-12.9,23,1450,42.4,2.3,1023.4,1036.2,1023,1031.8,1,1034.4,11,10,1200,2.73,18.25,,,,,,.1,0,1.7,-10.3,.8,.7,.9,1.6,3,4.2,6.6,11.7,15.7,2.2,3.2,,
108,2023-02-22,1.2,-4.5,712,8.4,1452,,,,,,,7,180,1358,3.7,180,1520,2.2,1865,-8.8,21,1500,50.6,3.2,1019,1034.7,1,1026.3,2217,1029.9,11.1,9.2,1300,2.67,17,,,,,,5.5,.5,2.2,-11,.9,.7,.8,1.5,2.8,4.2,6.6,11.6,15.6,2.4,3.4,,
108,2023-02-23,2.9,-1.8,629,9.2,1531,,,,,,,6.7,270,1731,4,320,1549,1.9,1638,-3.4,36,1443,65.5,4.8,1013.3,1026.5,1,1021.4,1538,1024.1,11.1,10,1200,2.45,15.87,,,,,,2.5,.8,3.1,-7.5,1.8,1.2,1.2,1.7,2.9,4.3,6.6,11.6,15.6,2,2.9,,
108,2023-02-24,3.5,-.4,2400,8.5,1501,,,,,,,11.6,290,1532,6.5,290,1352,3,2625,-5.1,25,1534,57.9,4.4,1013.7,1027.6,2359,1022.1,301,1024.4,11.2,9.8,1300,2.68,17.42,,,,,,1.8,1.8,3.7,-4.7,2.9,2.5,2.2,2.5,3.3,4.3,6.7,11.5,15.5,2.7,3.9,,
108,2023-02-25,.7,-2.9,727,5.7,1527,,,,,,,8.5,320,1648,4.9,290,1539,2.9,2493,-10.5,27,1725,44,2.8,1020.9,1035.5,2249,1027.6,1,1031.8,11.2,10.2,1200,2.77,18.6,,,,,,0,0,2.7,-8.1,2.3,2.1,2.3,2.8,3.7,4.4,6.7,11.5,15.5,2.4,3.5,,
108,2023-02-26,2.2,-3.4,729,9.4,1534,,,,,,,7.2,180,1427,4.4,250,1623,2.1,1810,-8.7,25,1441,46.6,3.3,1025.4,1038.1,936,1034.5,1535,1036.3,11.2,10.4,1200,2.79,18.83,,,,,,0,0,3.3,-10.8,2.3,2,2.1,2.6,3.6,4.5,6.7,11.4,15.4,2.7,3.9,,
108,2023-02-27,4.4,-1.8,646,12.4,1501,,,,,,,7,200,1539,4.1,250,1701,1.9,1632,-6.6,24,1629,47.4,3.8,1022.9,1036.7,804,1030.9,2359,1033.6,11.3,10.5,1200,2.8,18.65,,,,,,0,0,4,-9.1,3.2,2.7,2.5,2.8,3.6,4.6,6.8,11.4,15.4,2.9,4.2,,
108,2023-02-28,4.3,-.7,719,8.7,1553,,,,,,,7.3,180,1529,4.5,270,1833,2,1713,-2.1,44,5,63.4,5.4,1016.3,1031,3,1024.1,2233,1027.1,11.3,3,1500,1.86,10.26,,,,,,5.5,5.5,3.7,-9.1,3.2,2.9,2.8,3.1,3.9,4.7,6.8,11.3,15.3,1.4,2,,
108,2023-03-01,6,2.9,2355,9,1525,,,,,,,12.3,290,1714,7,290,1717,3.1,2636,-3.2,27,1658,54.4,5.1,1011.3,1024.2,1,1019.3,1453,1021.9,11.3,4.1,1500,1.79,10.19,,,,,,5.4,4.5,5,.4,4.8,4.3,3.9,3.8,4.2,4.8,6.8,11.3,15.3,2.3,3.3,,
108,2023-03-02,2.2,-1.8,736,6.6,1541,,,,,,,9.6,320,1409,5.5,290,1410,2.8,2384,-11.2,22,1301,37.8,2.7,1016.6,1029.1,949,1024.1,1,1027.4,11.4,10.5,1200,2.86,19.45,,,,,,0,0,3.7,-8,3.6,3.4,3.4,3.8,4.5,4.9,6.9,11.3,15.3,2.8,4,,
108,2023-03-03,4.6,-1.9,708,10.4,1445,,,,,,,8.9,250,1248,5,200,1256,2.1,1779,-1.5,48,1225,65,5.7,1016.7,1029,52,1025.3,1540,1027.4,11.4,7.5,1200,2.62,15.67,,,,,,3.8,3.8,3.6,-9.4,3.9,3.5,3.3,3.7,4.4,5,6.9,11.2,15.2,1.9,2.7,,
108,2023-03-04,7.7,3.7,800,14.1,1513,,,,,,,5.5,270,1712,3.5,250,1712,1.9,1633,1.8,35,1549,68.4,7,1017.8,1029.7,941,1026.5,1611,1028.4,11.5,8.7,1200,2.31,14.91,,,,,,4.8,1.3,7,-3.6,5.8,5.2,4.6,4.5,4.7,5.1,7,11.2,15.2,2,2.9,,
108,2023-03-05,8,2.5,702,15.4,1415,,,,,,,6.9,250,1453,4.1,250,1543,1.7,1480,-1.7,24,1656,54,5.5,1016.2,1029.6,920,1024.4,1733,1026.8,11.5,10.1,1200,2.6,17.21,,,,,,0,0,6.6,-6.1,6.2,5.7,5.2,5.2,5.3,5.3,7.1,11.1,15.1,3.1,4.5,,
108,2023-03-06,9.2,2.2,701,16.5,1455,,,,,,,7.8,180,1333,4.7,230,1258,2.1,1800,-3.9,18,1407,41.9,4.7,1012.3,1025.6,901,1020.2,1900,1022.8,11.5,10,1200,2.81,18.63,,,,,,1.1,.4,7,-6.2,6.3,5.8,5.4,5.5,5.7,5.5,7.1,11.1,15.1,3.7,5.3,,
108,2023-03-07,11.7,6.3,645,19.4,1443,,,,,,,7.2,250,1725,4.1,230,1757,2.3,1998,4,40,1147,60.9,8.4,1009.1,1021.5,1,1017,1618,1019.4,11.6,7,1200,2.59,15.35,,,,,,2.1,2.1,10.4,-.2,8,7.3,6.5,6.2,6.1,5.7,7.2,11.1,15,2.8,4,,
108,2023-03-08,12.5,7.4,559,17.7,1237,1.08,,,,,1.2,7.8,290,1405,4.6,270,1414,2,1753,5.8,41,1354,66.3,9.3,1008.1,1020.5,925,1015.7,2210,1018.4,11.6,1.8,1200,1.7,8.39,,,,,,7,5.3,9.3,-.5,8.6,8.1,7.4,7.1,6.8,5.9,7.3,11.1,15,1.9,2.7,4.8,
108,2023-03-09,10.3,7.4,2316,13.1,1,4.83,,,,,3.7,9,200,512,5,180,520,2.3,1999,8,71,1546,85.9,10.7,1004.8,1017.8,2349,1013,437,1015.1,11.7,2,1500,1.53,6.52,,,,,,5.1,5,10.2,-.5,9.3,8.8,8.1,7.7,7.4,6.2,7.4,11,14.9,1,1.4,.1,
