날짜,KTCI,등급,계절,KTCI-a,등급_a,계절_a,KTCI-a2,등급_a2,KTCI-a_roll3,KTCI-a_roll7,Cd,Ca,P,W,S,ET_d,ET_a,최고기온,평균기온,최저습도,평균습도,강수량,풍속,일조시간,전운량
2009-02-01,75.0,Very Good,winter,75.0,Very Good,winter,75.0,Very Good,73.05,71.48,3.0,2.5,5.0,4.0,4.35,10.4042,6.20052,10.5,5.3,52.1,52.1,0.0,2.2,8.7,1.8
2009-02-02,69.73,Good,winter,69.73,Good,winter,69.73,Good,72.19,72.29,3.0,2.5,5.0,4.0,1.1,8.2232,5.73568,8.0,5.2,72.1,72.1,0.0,2.2,0.0,7.8
2009-02-03,73.46,Very Good,winter,73.46,Very Good,winter,73.46,Very Good,72.73,72.75,3.0,2.5,5.0,4.0,3.4,10.956999999999999,6.259,11.1,5.7,67.5,67.5,0.0,1.9,6.8,4.5
2009-02-04,73.3,Very Good,winter,73.3,Very Good,winter,73.3,Very Good,72.16,72.79,3.0,2.5,5.0,4.0,3.3,9.0518,5.1728000000000005,8.9,4.4,65.5,65.5,0.0,2.1,6.6,3.8
2009-02-05,66.93,Good,winter,66.93,Good,winter,66.93,Good,71.23,71.8,2.5,2.5,4.98,4.0,0.8499999999999996,6.4592,5.04288,6.0,4.4,71.3,71.3,0.2,2.0,0.0,8.3
2009-02-06,66.73,Good,winter,66.73,Good,winter,66.73,Good,68.99,71.0,2.5,2.5,5.0,4.0,0.65,7.18272,4.01328,6.8,3.2,70.1,70.1,0.0,1.7,1.3,2.9
2009-02-07,64.67,Good,winter,64.67,Good,winter,64.67,Good,66.11,69.97,2.5,2.0,5.0,4.0,0.8499999999999996,5.394,3.36736,5.0,2.8,80.3,80.3,0.0,1.8,0.0,8.3
2009-02-08,72.85,Very Good,winter,72.85,Very Good,winter,72.85,Very Good,68.08,69.67,3.0,2.0,5.0,4.0,4.5,8.51104,3.9614400000000005,8.2,2.7,56.8,56.8,0.0,1.7,9.0,1.6
2009-02-09,70.78,Very Good,winter,70.78,Very Good,winter,70.78,Very Good,69.43,69.82,3.0,2.5,5.0,3.5,2.65,8.49596,6.042,8.1,5.0,47.9,47.9,0.0,2.6,5.3,8.0
2009-02-10,64.38,Good,winter,64.38,Good,winter,64.38,Good,69.34,68.52,2.5,2.5,5.0,3.5,0.1,6.9326,5.1798,6.5,4.5,69.1,69.1,0.0,2.8,0.2,8.0
2009-02-11,68.19,Good,winter,68.19,Good,winter,68.19,Good,67.78,67.79,3.0,2.5,5.0,3.5,1.05,9.284799999999999,6.1558,9.2,5.7,73.5,73.5,0.0,2.6,2.1,5.9
2009-02-12,67.74,Good,winter,67.74,Good,winter,67.74,Good,66.77,67.91,3.0,2.5,4.98,3.5,0.85,10.49512,7.35936,10.6,6.8,56.3,56.3,0.2,3.0,1.7,6.6
2009-02-13,48.83,Marginal,winter,48.83,Marginal,winter,48.83,Marginal,61.59,65.35,3.5,3.0,1.5499999999999998,3.0,0.20000000000000018,15.724240000000002,10.37536,16.1,10.4,84.6,84.6,34.5,4.9,0.0,9.6
2009-02-14,66.09,Good,winter,66.09,Good,winter,66.09,Good,60.89,65.55,2.5,2.5,5.0,4.0,0.25,5.8000799999999995,4.28096,5.3,3.6,73.4,73.4,0.0,2.4,0.5,5.8
2009-02-15,63.29,Good,winter,63.29,Good,winter,63.29,Good,59.4,64.19,2.5,2.0,4.96,3.5,1.05,4.0385599999999995,0.9009599999999995,2.4,-1.6,46.1,46.1,0.4,3.4,2.1,7.0
2009-02-16,63.57,Good,winter,63.57,Good,winter,63.57,Good,64.32,63.16,2.0,1.5,5.0,3.0,4.85,1.2030400000000006,-1.4432,-2.3,-6.0,28.8,28.8,0.0,4.0,9.7,0.8
2009-02-17,66.49,Good,winter,66.49,Good,winter,66.49,Good,64.45,63.46,2.0,1.5,5.0,4.0,4.85,2.0578,-1.04344,-0.5,-4.6,39.1,39.1,0.0,2.4,9.7,0.4
2009-02-18,65.64,Good,winter,65.64,Good,winter,65.64,Good,65.23,63.09,2.0,2.0,5.0,4.0,2.85,3.4192799999999997,0.6645599999999994,1.4,-2.2,41.3,41.3,0.0,2.2,5.7,2.5
2009-02-19,63.45,Good,winter,63.45,Good,winter,63.45,Good,65.19,62.48,2.5,2.0,4.96,4.0,0.25,5.10536,2.45744,3.9,0.6,50.6,50.6,0.4,2.2,0.0,9.5
2009-02-20,60.93,Good,winter,60.93,Good,winter,60.93,Good,63.34,64.21,2.0,1.5,4.9,3.0,3.6,1.5968,-0.3999999999999999,-0.1,-2.5,58.0,58.0,1.0,4.1,7.2,3.8
2009-02-21,70.9,Very Good,winter,70.9,Very Good,winter,70.9,Very Good,65.09,64.9,2.5,2.0,5.0,4.0,4.7,4.0578,0.06919999999999948,2.7,-2.2,53.5,53.5,0.0,2.2,9.4,2.0
2009-02-22,65.76,Good,winter,65.76,Good,winter,65.76,Good,65.86,65.25,2.5,2.5,5.0,4.0,0.05,7.4812,4.1228,7.0,3.0,59.9,59.9,0.0,1.7,0.1,7.9
2009-02-23,75.08,Very Good,winter,75.08,Very Good,winter,75.08,Very Good,70.58,66.89,3.0,2.5,5.0,4.5,3.5,11.5542,6.8916,11.9,6.2,54.5,54.5,0.0,1.6,7.0,4.5
2009-02-24,67.99,Good,winter,67.99,Good,winter,67.99,Good,69.61,67.11,3.0,2.5,4.98,4.0,0.09999999999999964,10.174719999999999,7.903359999999999,10.2,7.6,68.4,68.4,0.2,2.1,0.0,9.8
2009-02-25,68.43,Good,winter,68.43,Good,winter,68.43,Good,70.5,67.51,2.5,2.5,5.0,3.5,2.6,7.16896,4.33792,6.4,2.8,46.6,46.6,0.0,3.1,5.2,6.6
2009-02-26,70.38,Very Good,winter,70.38,Very Good,winter,70.38,Very Good,68.93,68.5,2.5,2.5,5.0,3.5,3.8,7.99768,4.36384,7.3,2.4,35.4,35.4,0.0,2.6,7.6,5.1
2009-02-27,76.05,Very Good,winter,76.05,Very Good,winter,76.05,Very Good,71.62,70.66,3.0,2.5,5.0,4.0,5.0,8.96736,5.50064,8.6,3.9,34.4,34.4,0.0,2.5,10.1,2.9
2009-02-28,75.73,Very Good,winter,75.73,Very Good,winter,75.73,Very Good,74.05,71.35,3.0,2.5,5.0,4.0,4.8,10.14552,6.50752,10.2,5.2,31.9,31.9,0.0,2.1,9.6,3.3
2009-03-01,76.1,Very Good,spring,74.59,Very Good,winter,74.59,Very Good,75.46,72.61,3.0,2.5,5.0,3.5,5.0,8.99032,5.16796,8.6,3.3,30.3,30.3,0.0,3.3,10.3,0.5
2009-03-02,73.08,Very Good,spring,72.97,Very Good,winter,72.97,Very Good,74.43,72.31,3.0,2.5,5.0,4.0,3.1,8.9584,5.2384,8.6,3.6,36.0,36.0,0.0,2.0,6.2,6.1
2009-03-03,59.49,Acceptable,spring,60.68,Good,winter,60.68,Good,69.41,71.26,2.5,2.0,4.35,4.0,0.8499999999999996,5.523359999999999,3.3307200000000003,5.1,2.7,78.4,78.4,6.5,2.0,0.0,8.3
2009-03-04,76.38,Very Good,spring,75.32,Very Good,winter,75.32,Very Good,69.66,72.25,3.0,2.5,5.0,4.0,4.55,9.06104,4.62232,8.9,3.7,63.4,63.4,0.0,1.8,9.1,3.3
2009-03-05,58.98,Acceptable,spring,60.88,Good,winter,60.88,Good,65.63,70.89,2.5,2.5,4.1,4.0,0.4500000000000002,7.88416,5.76832,7.6,5.2,70.4,70.4,9.0,2.4,0.0,9.1
2009-03-06,68.23,Good,spring,67.01,Good,winter,67.01,Good,67.74,69.6,2.5,2.0,5.0,3.0,4.1,5.116,3.1624,4.0,1.6,53.5,53.5,0.0,4.2,8.2,3.5
2009-03-07,72.9,Very Good,spring,71.39,Very Good,winter,71.39,Very Good,66.43,68.98,2.5,2.0,5.0,4.0,5.0,7.09984,3.31352,6.4,1.7,51.4,51.4,0.0,2.5,10.3,2.0
2009-03-08,74.56,Very Good,spring,74.02,Very Good,winter,74.02,Very Good,70.81,68.9,3.0,2.5,5.0,4.0,3.75,10.85272,6.20152,11.1,5.1,43.8,43.8,0.0,2.3,7.5,4.0
2009-03-09,73.48,Very Good,spring,72.73,Very Good,winter,72.73,Very Good,72.71,68.86,3.0,2.5,5.0,3.5,3.85,10.924,6.556,11.1,5.9,60.0,60.0,0.0,2.6,7.7,2.5
2009-03-10,76.1,Very Good,spring,74.59,Very Good,winter,74.59,Very Good,73.78,70.85,3.0,2.5,5.0,3.5,5.0,8.97912,5.18728,8.6,3.4,32.3,32.3,0.0,3.3,10.5,2.1
2009-03-11,74.56,Very Good,spring,74.02,Very Good,winter,74.02,Very Good,73.78,70.66,3.0,2.5,5.0,4.0,3.75,9.92708,5.9894,9.9,4.5,32.3,32.3,0.0,2.5,7.5,4.6
2009-03-12,70.03,Very Good,spring,71.19,Very Good,winter,71.19,Very Good,73.27,72.14,3.0,3.0,4.65,4.0,1.85,12.5886,8.44684,13.5,7.9,34.9,34.9,3.5,2.3,3.7,8.4
2009-03-13,48.39,Marginal,spring,49.37,Marginal,winter,49.37,Marginal,64.86,69.62,2.5,2.0,3.05,3.0,0.6,6.7676799999999995,3.62272,6.3,2.7,68.4,68.4,19.5,4.4,1.2,7.9
2009-03-14,70.28,Very Good,spring,68.47,Good,winter,68.47,Good,63.01,69.2,2.5,2.0,5.0,3.0,5.0,5.725,2.6500000000000004,4.3,0.2,37.5,37.5,0.0,4.6,10.6,0.0
2009-03-15,69.09,Good,spring,69.08,Good,winter,69.08,Good,62.31,68.49,3.0,2.5,5.0,3.0,2.5,8.98912,5.87224,8.8,5.1,60.6,60.6,0.0,4.0,5.0,5.4
2009-03-16,68.68,Good,spring,70.34,Very Good,winter,70.28,Very Good,69.3,68.15,3.0,3.0,5.0,3.5,0.9,12.79124,8.82948,13.1,8.7,75.1,75.1,0.0,3.4,1.8,5.6
2009-03-17,79.24,Very Good,spring,78.28,Very Good,winter,78.35,Very Good,72.57,68.68,3.5,3.0,5.0,3.5,4.4,17.29696,11.907160000000001,18.8,12.3,57.3,57.3,0.0,3.3,8.8,1.6
2009-03-18,71.2,Very Good,spring,73.05,Very Good,winter,72.85,Very Good,73.89,68.54,3.5,3.5,5.0,3.0,0.5999999999999996,17.81088,15.591880000000002,18.8,16.3,71.9,71.9,0.0,4.7,0.0,8.8
2009-03-19,72.04,Very Good,spring,74.1,Very Good,winter,73.81,Very Good,75.14,68.96,3.5,3.5,4.96,3.5,0.5,16.79192,13.814639999999999,17.3,14.1,82.6,82.6,0.4,2.6,0.0,9.0
2009-03-20,80.61,Excellent,spring,79.25,Very Good,winter,79.49,Very Good,75.47,73.22,3.5,3.0,5.0,3.5,5.0,17.28376,11.72304,19.3,12.2,45.8,45.8,0.0,2.6,10.7,0.1
2009-03-21,77.99,Very Good,spring,77.47,Very Good,winter,77.58,Very Good,76.94,74.51,4.0,3.5,3.95,4.0,4.1,19.945439999999998,13.50536,22.2,14.3,53.8,53.8,10.5,2.1,8.2,5.1
2009-03-22,67.52,Good,spring,67.87,Good,winter,67.78,Good,74.86,74.34,3.5,3.0,4.15,3.0,2.1,13.0744,10.0,13.5,10.0,69.6,69.6,8.5,3.7,4.2,5.5
2009-03-23,74.79,Very Good,spring,73.13,Very Good,winter,73.6,Very Good,72.82,74.74,3.0,2.5,5.0,3.0,5.0,9.6944,5.798,9.6,4.5,41.0,41.0,0.0,3.6,10.6,1.5
2009-03-24,63.72,Good,spring,64.34,Good,winter,64.14,Good,68.45,72.74,2.5,2.0,5.0,3.5,1.55,6.553,3.7954,5.5,1.9,41.5,41.5,0.0,2.8,3.1,5.5
2009-03-25,67.89,Good,spring,66.77,Good,winter,67.17,Good,68.08,71.85,2.5,2.0,5.0,3.0,3.95,6.4108,3.93824,5.5,2.4,49.4,49.4,0.0,4.4,7.9,3.9
2009-03-26,64.76,Good,spring,64.91,Good,winter,64.85,Good,65.34,70.53,3.0,2.5,4.4,3.0,2.2,9.32448,5.52468,9.2,4.7,61.1,61.1,6.0,3.6,4.4,6.0
2009-03-27,74.79,Very Good,spring,73.13,Very Good,winter,73.84,Very Good,68.27,69.66,3.0,2.5,5.0,3.0,5.0,8.816,5.412,8.4,3.8,35.0,35.0,0.0,3.6,10.8,1.5
2009-03-28,77.07,Very Good,spring,75.81,Very Good,winter,76.39,Very Good,71.28,69.42,3.0,2.5,5.0,4.0,4.85,10.07532,5.8574,10.1,4.5,38.3,38.3,0.0,2.5,9.7,2.0
2009-03-29,77.41,Very Good,spring,77.41,Very Good,spring,76.73,Very Good,75.45,70.79,3.0,2.5,5.0,4.0,5.0,11.5834,7.5118,12.1,6.7,38.5,38.5,0.0,2.1,11.1,2.1
2009-03-30,72.11,Very Good,spring,72.11,Very Good,spring,71.95,Very Good,75.11,70.64,3.0,2.5,5.0,3.5,3.25,10.935039999999999,7.89616,11.2,7.3,44.8,44.8,0.0,3.3,6.5,6.8
2009-03-31,71.48,Very Good,spring,71.48,Very Good,spring,71.18,Very Good,73.67,71.66,3.0,2.5,5.0,3.0,3.55,9.920160000000001,6.88624,9.9,6.1,49.6,49.6,0.0,3.6,7.1,5.0
2009-04-01,73.14,Very Good,spring,73.14,Very Good,spring,72.88,Very Good,72.24,72.57,3.0,2.5,5.0,3.5,3.7,10.0,6.7282,10.0,5.9,49.5,49.5,0.0,3.0,7.4,4.0
2009-04-02,80.61,Excellent,spring,80.61,Excellent,spring,80.12,Excellent,75.08,74.81,3.5,3.0,5.0,3.5,5.0,13.3348,8.0944,14.2,7.6,48.5,48.5,0.0,3.1,10.8,2.3
2009-04-03,73.53,Very Good,spring,73.53,Very Good,spring,73.78,Very Good,75.76,74.87,3.0,3.0,5.0,4.0,2.45,12.30608,8.51752,12.8,8.2,55.9,55.9,0.0,2.5,4.9,7.1
2009-04-04,70.05,Very Good,spring,70.05,Very Good,spring,70.41,Very Good,74.73,74.05,3.0,3.0,5.0,3.5,1.5,12.350079999999998,8.86848,12.7,8.7,67.6,67.6,0.0,2.9,3.0,6.1
2009-04-05,81.12,Excellent,spring,81.12,Excellent,spring,80.88,Excellent,74.9,74.58,3.5,3.0,5.0,4.0,4.65,15.066880000000001,9.825280000000001,15.8,9.8,68.4,68.4,0.0,2.5,9.3,0.6
2009-04-06,80.61,Excellent,spring,80.61,Excellent,spring,80.32,Excellent,77.26,75.79,3.5,3.0,5.0,3.5,5.0,15.7204,10.73548,17.0,10.9,54.3,54.3,0.0,2.8,11.3,0.0
2009-04-07,86.43,Excellent,spring,86.43,Excellent,spring,86.24,Excellent,82.72,77.93,4.0,3.5,5.0,4.0,5.0,18.87276,13.21932,21.3,14.1,46.3,46.3,0.0,2.2,10.6,0.0
2009-04-08,89.01,Excellent,spring,89.01,Excellent,spring,88.81,Excellent,85.35,80.19,4.5,3.5,5.0,4.0,5.0,20.419439999999998,14.64752,23.9,16.2,37.4,37.4,0.0,2.1,11.1,0.0
2009-04-09,89.01,Excellent,spring,89.01,Excellent,spring,88.86,Excellent,88.15,81.39,4.5,3.5,5.0,4.0,5.0,21.18096,15.628,24.9,17.5,37.6,37.6,0.0,2.1,11.3,0.0
2009-04-10,89.01,Excellent,spring,89.01,Excellent,spring,88.91,Excellent,89.01,83.61,4.5,3.5,5.0,4.0,5.0,20.20544,15.477920000000001,23.6,17.3,37.6,37.6,0.0,2.4,11.1,0.0
2009-04-11,89.01,Excellent,spring,89.01,Excellent,spring,88.96,Excellent,89.01,86.31,4.5,3.5,5.0,4.0,5.0,21.12616,16.1812,25.3,18.5,31.8,31.8,0.0,2.0,10.4,2.3
2009-04-12,78.51,Very Good,spring,78.51,Very Good,spring,78.51,Very Good,85.51,85.94,4.0,3.5,5.0,3.5,2.1,18.395519999999998,14.947360000000002,21.2,16.6,37.4,37.4,0.0,2.8,4.2,6.1
2009-04-13,76.17,Very Good,spring,76.17,Very Good,spring,76.17,Very Good,81.23,85.31,4.0,3.5,5.0,4.0,0.5,18.64112,14.64664,20.6,15.7,53.8,53.8,0.0,2.3,1.0,7.9
2009-04-14,81.81,Excellent,spring,81.81,Excellent,spring,81.81,Excellent,78.83,84.65,4.0,3.5,5.0,3.5,3.55,18.7912,14.8312,21.1,16.1,48.0,48.0,0.0,3.3,7.1,3.9
2009-04-15,65.68,Good,spring,65.68,Good,spring,65.68,Good,74.55,81.31,3.5,3.0,4.4,3.5,0.05,13.7966,9.9074,14.1,9.9,81.5,81.5,6.0,2.6,0.1,7.8
2009-04-16,77.82,Very Good,spring,77.82,Very Good,spring,77.82,Very Good,75.1,79.72,3.5,3.0,5.0,4.0,3.2,14.68936,10.60788,15.4,10.7,67.1,67.1,0.0,2.3,6.4,3.5
2009-04-17,81.92,Excellent,spring,81.92,Excellent,spring,81.92,Excellent,75.14,78.7,3.5,3.0,5.0,4.0,5.0,16.04824,11.5312,17.9,12.0,41.4,41.4,0.0,2.4,12.3,0.4
2009-04-18,83.85,Excellent,spring,83.85,Excellent,spring,83.85,Excellent,81.2,77.97,3.5,3.5,5.0,4.0,5.0,17.68712,13.19088,20.6,14.4,31.3,31.3,0.0,2.1,11.3,1.8
2009-04-19,87.07,Excellent,spring,87.07,Excellent,spring,87.07,Excellent,84.28,79.19,4.5,3.5,5.0,4.0,4.15,21.2496,16.052,25.8,18.5,28.0,28.0,0.0,2.2,8.3,5.8
2009-04-20,46.42,Marginal,spring,46.42,Marginal,spring,46.42,Marginal,72.45,74.94,3.5,3.5,1.15,3.0,0.0,16.58944,13.6608,17.2,14.0,78.8,78.8,38.5,4.1,0.0,10.0
2009-04-21,63.33,Good,spring,63.33,Good,spring,63.33,Good,65.61,72.3,3.0,3.0,4.7,2.5,0.5,11.29584,9.44464,11.4,9.4,81.4,81.4,3.0,5.7,0.0,9.0
2009-04-22,72.05,Very Good,spring,72.05,Very Good,spring,72.05,Very Good,60.6,73.21,3.0,3.0,5.0,3.0,2.95,12.5368,9.91544,13.0,9.9,61.4,61.4,0.0,3.8,5.9,3.4
2009-04-23,81.01,Excellent,spring,81.01,Excellent,spring,81.01,Excellent,72.13,73.66,3.5,3.0,5.0,4.0,4.6,16.455879999999997,12.206439999999999,17.9,12.7,54.3,54.3,0.0,1.8,9.2,4.4
2009-04-24,66.76,Good,spring,66.76,Good,spring,66.76,Good,73.27,71.5,3.5,3.0,4.25,4.0,0.35,16.662959999999998,12.97132,17.4,13.3,75.1,75.1,7.5,1.9,0.7,10.0
2009-04-25,61.84,Good,spring,61.84,Good,spring,61.84,Good,69.87,68.35,3.0,3.0,3.95,3.5,0.7000000000000002,11.692720000000001,8.777479999999999,11.8,8.7,85.1,85.1,10.5,3.2,0.0,8.6
2009-04-26,68.4,Good,spring,68.4,Good,spring,68.4,Good,65.67,65.69,3.0,3.0,5.0,4.0,0.2,11.914,8.869,12.2,8.7,67.5,67.5,0.0,1.7,0.4,8.5
2009-04-27,81.39,Excellent,spring,81.39,Excellent,spring,81.39,Excellent,70.54,70.68,3.5,3.0,4.95,4.0,4.9,16.076,11.041599999999999,17.0,11.2,67.0,67.0,0.5,2.2,9.8,2.6
2009-04-28,84.08,Excellent,spring,84.08,Excellent,spring,84.08,Excellent,77.96,73.65,4.0,3.0,4.95,4.0,4.95,18.551679999999998,12.9344,20.2,13.5,59.6,59.6,0.5,2.0,9.9,1.0
2009-04-29,86.43,Excellent,spring,86.43,Excellent,spring,86.43,Excellent,83.97,75.7,4.0,3.5,5.0,4.0,5.0,19.675,14.3344,22.5,15.6,43.5,43.5,0.0,2.4,12.2,0.0
2009-04-30,77.58,Very Good,spring,77.58,Very Good,spring,77.58,Very Good,82.7,75.21,3.5,3.5,5.0,4.0,2.25,17.94448,14.192919999999999,20.8,15.7,33.9,33.9,0.0,2.3,4.5,5.3
2009-05-01,86.43,Excellent,spring,86.43,Excellent,spring,86.43,Excellent,83.48,78.02,4.0,3.5,5.0,4.0,5.0,19.69184,15.783839999999998,22.4,17.4,45.4,45.4,0.0,2.3,10.2,4.3
2009-05-02,71.37,Very Good,spring,71.37,Very Good,spring,71.37,Very Good,78.46,79.38,3.5,3.5,4.85,3.5,0.5,17.1968,14.857840000000001,18.0,15.4,74.9,74.9,1.5,3.2,1.0,9.1
2009-05-03,89.01,Excellent,spring,89.01,Excellent,spring,89.01,Excellent,82.27,82.33,4.5,3.5,5.0,4.0,5.0,21.19232,15.771040000000001,22.8,16.6,68.6,68.6,0.0,2.5,10.2,2.9
2009-05-04,87.7,Excellent,spring,87.7,Excellent,spring,87.7,Excellent,82.69,83.23,4.5,3.5,5.0,3.5,5.0,20.12,14.136,21.5,14.7,70.0,70.0,0.0,2.9,11.1,1.3
